Threshold,Cloglog value,Fractional predicted area,Training omission rate
Minimum training presence,0.04591727629508946,0.23074617171691938,0
Equal training sensitivity and specificity,0.21151589941622617,0.09090454897454472,0.09090909090909091
Maximum training sensitivity plus specificity,0.20467330772330017,0.09335265169493642,0.06060606060606061
