Threshold,Cloglog value,Fractional predicted area,Training omission rate,Test omission rate,P-values
Minimum training presence,0.08344869344834982,0.9700723739975223,0,0,3.4569493664477903e-138
Equal training sensitivity and specificity,0.5144070708664787,0.30377518419508376,0.30377906976744184,0.00902371124124028,0
Maximum training sensitivity plus specificity,0.4781466204448662,0.34661276651235573,0.2543604651162791,0.00787174810406067,0
Equal test sensitivity and specificity,0.4699848506811618,0.3557736193518941,0.24854651162790697,0.007391763463569166,0
Maximum test sensitivity plus specificity,0.38427021780025716,0.47108300189085217,0.15261627906976744,0.004703849476816742,0
