Threshold,Cloglog value,Fractional predicted area,Training omission rate,Test omission rate,P-values
Minimum training presence,0.031725632217186606,0.8058761458814219,0,0,0
Equal training sensitivity and specificity,0.40116403497522857,0.17855965178394775,0.17857142857142858,4.0966816878328555e-4,0
Maximum training sensitivity plus specificity,0.45941414400452185,0.14743124711468708,0.17857142857142858,5.120852109791069e-4,0
Equal test sensitivity and specificity,0.30652241395941304,0.24685088702763305,0.125,4.0966816878328555e-4,0
Maximum test sensitivity plus specificity,0.4427895490416629,0.1551144232671635,0.17857142857142858,4.0966816878328555e-4,0
