"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.00678 2232596 0 0.9998 1.0000 0.9996 0.9998 0.9998 1.0000 0.9996
0.00688 2232372 0 0.9998 1.0000 0.9995 0.9998 0.9998 1.0000 0.9995
0.00698 2232148 0 0.9998 1.0000 0.9995 0.9998 0.9998 1.0000 0.9995
0.00708 2231924 0 0.9998 1.0000 0.9995 0.9998 0.9998 1.0000 0.9995
0.00717 2231700 0 0.9998 1.0000 0.9995 0.9998 0.9998 1.0000 0.9995
0.00727 2231476 0 0.9998 1.0000 0.9995 0.9998 0.9998 1.0000 0.9995
0.00737 2231252 0 0.9998 1.0000 0.9995 0.9998 0.9998 1.0000 0.9995
0.00747 2231028 0 0.9998 1.0000 0.9995 0.9998 0.9998 1.0000 0.9995
0.00757 2230804 0 0.9998 1.0000 0.9995 0.9998 0.9998 1.0000 0.9995
0.00767 2230580 0 0.9998 1.0000 0.9995 0.9998 0.9998 1.0000 0.9995
0.00777 2230356 0 0.9998 1.0000 0.9995 0.9998 0.9998 1.0000 0.9995
0.00787 2230132 0 0.9998 1.0000 0.9995 0.9998 0.9998 1.0000 0.9995
0.00797 2229908 0 0.9998 1.0000 0.9995 0.9998 0.9998 1.0000 0.9995
0.00807 2229684 0 0.9998 1.0000 0.9995 0.9998 0.9998 1.0000 0.9995
0.00817 2229460 0 0.9998 1.0000 0.9994 0.9998 0.9998 1.0000 0.9994
0.00827 2229236 0 0.9997 1.0000 0.9994 0.9997 0.9998 1.0000 0.9994
0.00837 2229012 0 0.9997 1.0000 0.9994 0.9997 0.9998 1.0000 0.9994
0.00847 2228788 0 0.9997 1.0000 0.9994 0.9997 0.9998 1.0000 0.9994
0.00857 2228564 0 0.9997 1.0000 0.9994 0.9997 0.9998 1.0000 0.9994
0.00867 2228340 0 0.9997 1.0000 0.9994 0.9997 0.9998 1.0000 0.9994
