Threshold,Cloglog value,Fractional predicted area,Training omission rate,Test omission rate,P-values
Minimum training presence,0.05142033607672636,0.9721132470249771,0,0,2.073831203930883e-128
Equal training sensitivity and specificity,0.5019352448161536,0.28547142670328235,0.28548644338118023,0.006926406926406926,0
Maximum training sensitivity plus specificity,0.3987728870972951,0.3860664312802406,0.16905901116427433,0.00481000481000481,0
Equal test sensitivity and specificity,0.45755640661668184,0.32633712567019746,0.23763955342902712,0.005579605579605579,0
Maximum test sensitivity plus specificity,0.472878750254475,0.31306394664574344,0.24561403508771928,0.005579605579605579,0
