Threshold,Cloglog value,Fractional predicted area,Training omission rate,Test omission rate,P-values
Minimum training presence,0.08226645729643778,0.9319848709093899,0,9.781864423359092e-5,1.8484196206e-313
Equal training sensitivity and specificity,0.5515384455346253,0.2765992435454695,0.2765432098765432,0.003717108480876455,0
Maximum training sensitivity plus specificity,0.4937545294880268,0.3317217562900839,0.19753086419753085,0.0027389220385405457,0
Equal test sensitivity and specificity,0.5502815884074179,0.27788192731458644,0.2740740740740741,0.003717108480876455,0
Maximum test sensitivity plus specificity,0.4830789351049576,0.342081894425259,0.1925925925925926,0.002347647461606182,0
