Threshold,Cloglog value,Fractional predicted area,Training omission rate,Test omission rate,P-values
Minimum training presence,0.09599884664297809,0.9317175560001312,0,0,1.5905e-319
Equal training sensitivity and specificity,0.513961579033661,0.2818208651733298,0.2818181818181818,0.006166297331149436,0
Maximum training sensitivity plus specificity,0.4605026830421467,0.33262274113672885,0.20363636363636364,0.005010116581558917,0
Equal test sensitivity and specificity,0.48156454967014084,0.3112065855498344,0.24181818181818182,0.005395510164755757,0
Maximum test sensitivity plus specificity,0.47305121397860117,0.31970089534616775,0.23454545454545456,0.005010116581558917,0
