Threshold,Cloglog value,Fractional predicted area,Training omission rate,Test omission rate,P-values
Minimum training presence,0.13653195508210614,0.8257082791070177,0,0,0
Equal training sensitivity and specificity,0.6091175213170588,0.197183568592118,0.19718309859154928,6.89655172413793e-4,0
Maximum training sensitivity plus specificity,0.5995277975208337,0.20302332565822404,0.18309859154929578,6.89655172413793e-4,0
Equal test sensitivity and specificity,0.5231823256109017,0.2608202355924851,0.16901408450704225,5.911330049261083e-4,0
Maximum test sensitivity plus specificity,0.6139330453109557,0.19341275402943237,0.19718309859154928,6.89655172413793e-4,0
