Threshold,Cloglog value,Fractional predicted area,Training omission rate,Test omission rate,P-values
Minimum training presence,0.13720323750416596,0.921927567781516,0,0,0
Equal training sensitivity and specificity,0.5695838787098431,0.3092222442113596,0.3092105263157895,0.0036363636363636364,0
Maximum training sensitivity plus specificity,0.5466416890040031,0.3397321723068804,0.2532894736842105,0.0033415233415233416,0
Equal test sensitivity and specificity,0.5415107860944754,0.3462299623985751,0.25,0.0033415233415233416,0
Maximum test sensitivity plus specificity,0.4594463226227228,0.47074345273434925,0.14802631578947367,0.0015724815724815725,0
