Threshold,Cloglog value,Fractional predicted area,Training omission rate,Test omission rate,P-values
Minimum training presence,0.033973281498855146,0.961968384152391,0,0,3.21331439159589e-169
Equal training sensitivity and specificity,0.5301335098109636,0.23635822475031418,0.23417721518987342,0.0015990405756546072,0
Maximum training sensitivity plus specificity,0.5376574536366667,0.22881804352139692,0.24050632911392406,0.0015990405756546072,0
Equal test sensitivity and specificity,0.4706283990553427,0.2951584099477479,0.17721518987341772,0.0012992204677193685,0
Maximum test sensitivity plus specificity,0.5865530861271535,0.18857067266353594,0.3291139240506329,0.0015990405756546072,0
